sample,time,window,precision,modulation,band,react,finish
192,2018-06-07 13:15:35.458118,0.0001,1.001001001001001e-07,4,20,6.806806806806807e-06,5.915915915915916e-05
193,2018-06-07 13:15:36.313775,0.0001,1.001001001001001e-07,8,7,6.806806806806807e-06,5.905905905905906e-05
194,2018-06-07 13:15:37.884947,0.0001,1.001001001001001e-07,0,45,6.806806806806807e-06,5.915915915915916e-05
195,2018-06-07 13:15:38.758847,0.0001,1.001001001001001e-07,5,21,6.806806806806807e-06,5.905905905905906e-05
196,2018-06-07 13:15:39.611491,0.0001,1.001001001001001e-07,4,49,6.806806806806807e-06,5.915915915915916e-05
197,2018-06-07 13:15:41.197136,0.0001,1.001001001001001e-07,0,46,9.10910910910911e-06,6.136136136136136e-05
198,2018-06-07 13:15:42.378954,0.0001,1.001001001001001e-07,1,32,6.9069069069069065e-06,5.915915915915916e-05
199,2018-06-07 13:15:43.222519,0.0001,1.001001001001001e-07,6,7,6.806806806806807e-06,5.915915915915916e-05
200,2018-06-07 13:15:44.072388,0.0001,1.001001001001001e-07,4,6,6.9069069069069065e-06,5.915915915915916e-05
201,2018-06-07 13:15:44.937866,0.0001,1.001001001001001e-07,5,38,6.9069069069069065e-06,5.915915915915916e-05
202,2018-06-07 13:15:45.786352,0.0001,1.001001001001001e-07,7,32,6.9069069069069065e-06,5.915915915915916e-05
203,2018-06-07 13:15:46.627354,0.0001,1.001001001001001e-07,6,23,6.806806806806807e-06,5.915915915915916e-05
204,2018-06-07 13:15:48.189756,0.0001,1.001001001001001e-07,0,7,6.9069069069069065e-06,5.915915915915916e-05
205,2018-06-07 13:15:49.764751,0.0001,1.001001001001001e-07,0,37,7.607607607607607e-06,5.995995995995996e-05
206,2018-06-07 13:15:50.828201,0.0001,1.001001001001001e-07,2,44,6.806806806806807e-06,5.905905905905906e-05
207,2018-06-07 13:15:51.679412,0.0001,1.001001001001001e-07,4,9,6.806806806806807e-06,5.915915915915916e-05
208,2018-06-07 13:15:52.841748,0.0001,1.001001001001001e-07,1,0,6.806806806806807e-06,5.905905905905906e-05
209,2018-06-07 13:15:53.691238,0.0001,1.001001001001001e-07,8,27,6.806806806806807e-06,5.915915915915916e-05
210,2018-06-07 13:15:54.533282,0.0001,1.001001001001001e-07,9,25,6.806806806806807e-06,5.915915915915916e-05
211,2018-06-07 13:15:56.110022,0.0001,1.001001001001001e-07,0,25,6.9069069069069065e-06,5.915915915915916e-05
212,2018-06-07 13:15:56.961674,0.0001,1.001001001001001e-07,7,40,6.9069069069069065e-06,5.915915915915916e-05
213,2018-06-07 13:15:58.528688,0.0001,1.001001001001001e-07,0,1,6.806806806806807e-06,5.905905905905906e-05
214,2018-06-07 13:15:59.696879,0.0001,1.001001001001001e-07,1,17,6.9069069069069065e-06,5.915915915915916e-05
215,2018-06-07 13:16:00.552522,0.0001,1.001001001001001e-07,9,23,6.9069069069069065e-06,5.915915915915916e-05
216,2018-06-07 13:16:01.412229,0.0001,1.001001001001001e-07,4,7,6.806806806806807e-06,5.915915915915916e-05
217,2018-06-07 13:16:02.268714,0.0001,1.001001001001001e-07,8,3,6.806806806806807e-06,5.905905905905906e-05
218,2018-06-07 13:16:03.837592,0.0001,1.001001001001001e-07,0,16,6.806806806806807e-06,5.905905905905906e-05
219,2018-06-07 13:16:04.893232,0.0001,1.001001001001001e-07,2,18,6.806806806806807e-06,5.905905905905906e-05
220,2018-06-07 13:16:06.462177,0.0001,1.001001001001001e-07,0,40,6.806806806806807e-06,5.905905905905906e-05
221,2018-06-07 13:16:07.524277,0.0001,1.001001001001001e-07,2,39,6.806806806806807e-06,5.915915915915916e-05
222,2018-06-07 13:16:08.584603,0.0001,1.001001001001001e-07,2,18,6.806806806806807e-06,5.905905905905906e-05
223,2018-06-07 13:16:09.427425,0.0001,1.001001001001001e-07,9,19,7.507507507507507e-06,5.975975975975976e-05
224,2018-06-07 13:16:10.283438,0.0001,1.001001001001001e-07,4,17,6.806806806806807e-06,5.915915915915916e-05
225,2018-06-07 13:16:11.852650,0.0001,1.001001001001001e-07,0,18,6.806806806806807e-06,5.915915915915916e-05
226,2018-06-07 13:16:12.697669,0.0001,1.001001001001001e-07,8,45,6.806806806806807e-06,5.905905905905906e-05
227,2018-06-07 13:16:13.955895,0.0001,1.001001001001001e-07,1,44,6.806806806806807e-06,5.915915915915916e-05
228,2018-06-07 13:16:15.484974,0.0001,1.001001001001001e-07,0,46,6.9069069069069065e-06,5.915915915915916e-05
229,2018-06-07 13:16:16.351745,0.0001,1.001001001001001e-07,8,2,6.9069069069069065e-06,5.915915915915916e-05
230,2018-06-07 13:16:17.444395,0.0001,1.001001001001001e-07,2,8,6.9069069069069065e-06,5.915915915915916e-05
231,2018-06-07 13:16:18.400723,0.0001,1.001001001001001e-07,3,21,6.806806806806807e-06,5.915915915915916e-05
232,2018-06-07 13:16:19.991885,0.0001,1.001001001001001e-07,0,19,6.806806806806807e-06,5.905905905905906e-05
233,2018-06-07 13:16:21.558677,0.0001,1.001001001001001e-07,0,44,6.9069069069069065e-06,5.915915915915916e-05
234,2018-06-07 13:16:22.412529,0.0001,1.001001001001001e-07,7,50,6.9069069069069065e-06,5.915915915915916e-05
235,2018-06-07 13:16:23.260354,0.0001,1.001001001001001e-07,4,32,6.806806806806807e-06,5.905905905905906e-05
236,2018-06-07 13:16:24.121136,0.0001,1.001001001001001e-07,4,32,6.806806806806807e-06,5.915915915915916e-05
