sample,time,window,precision,offset,measured
343,2018-06-07 14:55:08.263418,0.0002,2.0000020000020002e-10,697,8.908468908468909e-05
344,2018-06-07 14:55:10.608639,0.0001,1.0000010000010001e-10,231,1.538901538901539e-05
345,2018-06-07 14:55:13.004773,0.0002,2.0000020000020002e-10,464,5.997545997545998e-05
346,2018-06-07 14:55:15.206641,0.0001,1.0000010000010001e-10,317,2.0810020810020813e-05
347,2018-06-07 14:55:17.596562,0.0002,2.0000020000020002e-10,587,7.531107531107531e-05
348,2018-06-07 14:55:19.819053,0.0001,1.0000010000010001e-10,270,1.7815217815217815e-05
349,2018-06-07 14:55:22.203007,0.0001,1.0000010000010001e-10,333,2.17989217989218e-05
350,2018-06-07 14:55:24.702684,0.0002,2.0000020000020002e-10,426,5.5231655231655236e-05
351,2018-06-07 14:55:27.375744,0.0002,2.0000020000020002e-10,794,0.00010112630112630113
352,2018-06-07 14:55:28.379689,3.9999999999999996e-05,4.000040000400004e-10,125,1.7638576385763858e-05
353,2018-06-07 14:55:30.539479,0.0002,2.0000020000020002e-10,689,8.809968809968811e-05
354,2018-06-07 14:55:32.658794,0.0001,1.0000010000010001e-10,211,1.4157714157714158e-05
355,2018-06-07 14:55:34.790566,0.0002,2.0000020000020002e-10,441,5.715425715425716e-05
356,2018-06-07 14:55:36.875189,0.0002,2.0000020000020002e-10,674,8.62856862856863e-05
357,2018-06-07 14:55:39.314308,0.0001,1.0000010000010001e-10,276,1.823601823601824e-05
358,2018-06-07 14:55:41.750787,0.0002,2.0000020000020002e-10,602,7.728907728907729e-05
359,2018-06-07 14:55:44.045573,0.0002,2.0000020000020002e-10,623,7.987707987707988e-05
360,2018-06-07 14:55:45.055342,3.9999999999999996e-05,4.000040000400004e-10,151,2.084780847808478e-05
361,2018-06-07 14:55:47.195506,0.0002,2.0000020000020002e-10,560,7.195867195867196e-05
362,2018-06-07 14:55:49.308473,0.0002,2.0000020000020002e-10,404,5.2420852420852426e-05
363,2018-06-07 14:55:51.381654,0.0002,2.0000020000020002e-10,436,5.645205645205646e-05
364,2018-06-07 14:55:53.602312,0.0002,2.0000020000020002e-10,523,6.730086730086731e-05
365,2018-06-07 14:55:54.656948,1.9999999999999998e-05,2.000020000200002e-10,80,1.1989519895198952e-05
366,2018-06-07 14:55:56.775311,0.0002,2.0000020000020002e-10,423,5.485045485045485e-05
367,2018-06-07 14:55:58.793470,0.0002,2.0000020000020002e-10,561,7.205927205927207e-05
368,2018-06-07 14:56:00.924119,0.0002,2.0000020000020002e-10,770,9.827289827289828e-05
369,2018-06-07 14:56:03.238577,0.0002,2.0000020000020002e-10,763,9.730749730749732e-05
370,2018-06-07 14:56:05.455115,0.0002,2.0000020000020002e-10,601,7.714367714367715e-05
371,2018-06-07 14:56:07.642775,0.0002,2.0000020000020002e-10,585,7.50934750934751e-05
372,2018-06-07 14:56:08.664535,3.9999999999999996e-05,4.000040000400004e-10,131,1.8327783277832778e-05
373,2018-06-07 14:56:10.918970,0.0002,2.0000020000020002e-10,405,5.256245256245257e-05
374,2018-06-07 14:56:13.201366,0.0002,2.0000020000020002e-10,755,9.638669638669639e-05
375,2018-06-07 14:56:15.191461,0.0002,2.0000020000020002e-10,525,6.765346765346767e-05
376,2018-06-07 14:56:17.356301,0.0001,1.0000010000010001e-10,284,1.8764918764918768e-05
377,2018-06-07 14:56:19.672525,0.0002,2.0000020000020002e-10,501,6.461806461806463e-05
378,2018-06-07 14:56:20.649935,3.9999999999999996e-05,4.000040000400004e-10,144,1.992379923799238e-05
379,2018-06-07 14:56:22.610862,0.0001,1.0000010000010001e-10,370,2.4083124083124085e-05
380,2018-06-07 14:56:24.823392,0.0002,2.0000020000020002e-10,531,6.833406833406834e-05
381,2018-06-07 14:56:26.916255,0.0002,2.0000020000020002e-10,706,9.021129021129021e-05
382,2018-06-07 14:56:29.184976,0.0001,1.0000010000010001e-10,249,1.6524316524316526e-05
383,2018-06-07 14:56:31.542839,0.0001,1.0000010000010001e-10,349,2.28001228001228e-05
