sample,time,window,precision,modulation,band,payload,measured
257,2018-06-07 10:56:02.159684,0.002,2.000020000200002e-08,4,51,254,0.0005341253412534126
258,2018-06-07 10:56:03.023286,0.002,2.000020000200002e-08,0,31,254,0.0005294452944529446
259,2018-06-07 10:56:03.888577,0.002,2.000020000200002e-08,3,22,254,0.0005294452944529446
260,2018-06-07 10:56:04.785964,0.002,2.000020000200002e-08,6,24,254,0.0005268052680526805
261,2018-06-07 10:56:05.654181,0.002,2.000020000200002e-08,2,40,254,0.0005268052680526805
262,2018-06-07 10:56:06.513686,0.002,2.000020000200002e-08,2,48,254,0.0005285652856528566
263,2018-06-07 10:56:07.376608,0.002,2.000020000200002e-08,5,0,254,0.0005251052510525106
264,2018-06-07 10:56:08.244856,0.002,2.000020000200002e-08,0,45,254,0.0005313253132531326
265,2018-06-07 10:56:09.163622,0.002,2.000020000200002e-08,3,32,254,0.0005313053130531305
266,2018-06-07 10:56:10.031397,0.002,2.000020000200002e-08,8,18,254,0.00048518485184851853
267,2018-06-07 10:56:10.894624,0.002,2.000020000200002e-08,8,15,254,0.0004888048880488805
268,2018-06-07 10:56:11.786337,0.002,2.000020000200002e-08,1,26,254,0.0005302853028530286
269,2018-06-07 10:56:12.652813,0.002,2.000020000200002e-08,2,47,254,0.0005260852608526085
270,2018-06-07 10:56:13.517167,0.002,2.000020000200002e-08,2,24,254,0.0005268652686526865
271,2018-06-07 10:56:14.379513,0.002,2.000020000200002e-08,9,11,254,0.00048518485184851853
272,2018-06-07 10:56:15.253141,0.002,2.000020000200002e-08,2,44,254,0.0005260452604526045
273,2018-06-07 10:56:16.123830,0.002,2.000020000200002e-08,9,49,254,0.0004863048630486305
274,2018-06-07 10:56:16.978194,0.002,2.000020000200002e-08,1,35,254,0.0005261252612526125
275,2018-06-07 10:56:17.841471,0.002,2.000020000200002e-08,2,7,254,0.0005279052790527906
276,2018-06-07 10:56:18.704408,0.002,2.000020000200002e-08,7,39,254,0.0005260452604526045
277,2018-06-07 10:56:19.566198,0.002,2.000020000200002e-08,1,26,254,0.0005285652856528566
278,2018-06-07 10:56:20.479335,0.002,2.000020000200002e-08,4,10,254,0.0005278852788527886
279,2018-06-07 10:56:21.360480,0.002,2.000020000200002e-08,5,5,254,0.0005312053120531205
280,2018-06-07 10:56:22.223004,0.002,2.000020000200002e-08,0,51,254,0.0005251252512525126
281,2018-06-07 10:56:23.078357,0.002,2.000020000200002e-08,0,1,254,0.0005261252612526125
