sample,time,window,precision,modulation,band,delay,sleep,wakeup
252,2018-06-07 10:03:43.676902,0.4,4.000040000400005e-06,3,45,0.006154148983153341,1.600016000160002e-05,0.00048400484004840053
253,2018-06-07 10:03:45.120463,0.4,4.000040000400005e-06,6,23,0.1024638179770246,1.600016000160002e-05,0.00048400484004840053
254,2018-06-07 10:03:46.542517,0.4,4.000040000400005e-06,3,9,0.177809347587246,1.600016000160002e-05,0.00048400484004840053
255,2018-06-07 10:03:47.947407,0.4,4.000040000400005e-06,3,42,0.047997590264367875,1.600016000160002e-05,0.00048400484004840053
256,2018-06-07 10:03:49.338511,0.4,4.000040000400005e-06,2,8,0.1254067837575614,1.2000120001200014e-05,0.00048400484004840053
257,2018-06-07 10:03:50.851185,0.4,4.000040000400005e-06,7,0,0.10849622553733805,1.600016000160002e-05,0.0005120051200512006
258,2018-06-07 10:03:52.214868,0.4,4.000040000400005e-06,5,5,0.13675938819465644,1.600016000160002e-05,0.0005120051200512006
259,2018-06-07 10:03:53.629239,0.4,4.000040000400005e-06,7,13,0.07257528746465994,1.600016000160002e-05,0.00048400484004840053
260,2018-06-07 10:03:55.040822,0.4,4.000040000400005e-06,6,51,0.18317763544972554,1.600016000160002e-05,0.00048400484004840053
261,2018-06-07 10:03:56.470582,0.4,4.000040000400005e-06,2,46,0.16901505108272488,1.600016000160002e-05,0.00048800488004880054
262,2018-06-07 10:03:57.844222,0.4,4.000040000400005e-06,7,20,0.025695958268922816,1.2000120001200014e-05,0.00048400484004840053
263,2018-06-07 10:03:59.317437,0.4,4.000040000400005e-06,4,29,0.013002751502687083,1.600016000160002e-05,0.0004800048000480005
264,2018-06-07 10:04:00.766331,0.4,4.000040000400005e-06,3,47,0.13397370874150535,1.600016000160002e-05,0.00048400484004840053
265,2018-06-07 10:04:02.253670,0.4,4.000040000400005e-06,3,4,0.053100982805583,2.0000200002000023e-05,0.0005080050800508006
266,2018-06-07 10:04:03.701261,0.4,4.000040000400005e-06,5,28,0.1635926843473523,1.600016000160002e-05,0.0004800048000480005
267,2018-06-07 10:04:05.085960,0.4,4.000040000400005e-06,7,17,0.12299494610056796,1.600016000160002e-05,0.00048400484004840053
268,2018-06-07 10:04:06.459083,0.4,4.000040000400005e-06,3,35,0.026302437000028146,1.600016000160002e-05,0.00048400484004840053
269,2018-06-07 10:04:07.857490,0.4,4.000040000400005e-06,3,37,0.10957534191062282,1.600016000160002e-05,0.00048800488004880054
